עמודת 'אימות אוטומטי' כבר מולאה מול נתוני הכנסת. אדום = לתקן. כתום = הח״כ נעדר.,,,,,,,,,,,
מזהה סוגיה,הסוגיה,ח״כ,הצבעה במשחק,הצבעה רשמית בכנסת,מקור הידיעה,אימות אוטומטי,הערה / ציטוט,תמיד מופיע,הערות הבודק,עמודה נוספת (נעה),לינק לתמונה ברישיון
,עלויות המלחמה - חוק התייעלות כלכלית,אביגדור ליברמן,נגד,,,,,,,,
,עלויות המלחמה - חוק התייעלות כלכלית,אריה דרעי,בעד,,,,,,,,
,יוקר המחיה - הגבלה על רשתות השיווק,יואב סגלוביץ,בעד,,,,,,,נעה הוסיפה,
,יוקר המחיה - הגבלה על רשתות השיווק, יצחק גולדקנופ ,נגד,,,,,,,,
,יוקר המחיה - הגבלה על רשתות השיווק,יריב לויו,נגד,,,,,,,,
,יוקר המחיה - הגבלה על רשתות השיווק,צבי סוכות,נגד,,,,,,,,
,יוקר המחיה - הגבלה על רשתות השיווק,גלעד קריב,בעד,,,,יוזם החוק,,,,
,ייעוץ משפטי - חוק היועץ המשפטי,יריב לוין,בעד,,,,,,,,
,ייעוץ משפטי - חוק היועץ המשפטי,מירב כהן,נגד,,,,,,,,
,ייעוץ משפטי - חוק היועץ המשפטי,ישראל כץ,בעד,,,,,,,,
,ייעוץ משפטי - חוק היועץ המשפטי,זאב אלקין,בעד,,,,,,,,
,ייעוץ משפטי - חוק היועץ המשפטי,קארין אלהרר,נגד,,,,,,,,
,אלימות במשפחה - חוק האיזוק האלקטורני,בנימין נתניהו,נגד,,,,,,,,
,אלימות במשפחה - חוק האיזוק האלקטורני,מירב בן ארי,בעד,,,,,,,,
,אלימות במשפחה - חוק האיזוק האלקטורני,אורית סטרוק,נגד,,,,,,,,
,אלימות במשפחה - חוק האיזוק האלקטורני,גדעון סער,בעד,,,,,,,,
,אלימות במשפחה - חוק האיזוק האלקטורני,מנסור עבאס,בעד,,,,,,,,
,פשיעה לאומנית - צמצום מעצרים מנהליים,גדעון סער,נגד,,,,,,,,
,פשיעה לאומנית - צמצום מעצרים מנהליים,בצלאל סמוטריץ',בעד,,,,,,,,
,פשיעה לאומנית - צמצום מעצרים מנהליים,ישראל כץ,בעד,,,,,,,,
,פשיעה לאומנית - צמצום מעצרים מנהליים,יואב סגלוביץ',נגד,,,,,,,,
,פשיעה לאומנית - צמצום מעצרים מנהליים,זאב אלקין,נגד,,,,,,,,
